Year,Toy #,Col.#,Model Name,Series,Series #,Photo,Bild,,,
2025,HYW18,001,Mazda MX-5 Miata,HW Dream GarageNew for 2025!,2/5,Picture,2025_HW_Dream_GarageNew_for_2025!_1.jpg,,,
2025,HYX57,001,Mazda MX-5 Miata (2nd Color),HW Dream GarageNew for 2025!,2/5,Picture,2025_HW_Dream_GarageNew_for_2025!_2.jpg,,,
2025,HYW60,002,Batman and Robin Batmobile,Batman,1/5,Picture,2025_Batman_3.jpg,,,
2025,HYX61,002,Batman and Robin Batmobile (2nd Color),Batman,1/5,Picture,2025_Batman_4.jpg,,,
2025,HYW61,003,Monster High Ghoul Mobile,HW Screen Time,1/10,Picture,2025_HW_Screen_Time_5.jpg,,,
2025,HYX62,003,Monster High Ghoul Mobile (2nd Color),HW Screen Time,1/10,Picture,2025_HW_Screen_Time_6.jpg,,,
2025,HYY72,004,Nissan Skyline GT-R (BNR32),HW Screen Time,2/10,Picture,2025_HW_Screen_Time_7.jpg,,,
2025,HYW63,005,Purple Passion,HW Designed By,1/5,Picture,2025_HW_Designed_By_8.jpg,,,
2025,HYX55,005,Purple Passion (2nd Color),HW Designed By,1/5,Picture,2025_HW_Designed_By_9.jpg,,,
2025,HYW64,006,Kowloon'd Hypervan,HW Metro,1/5,Picture,2025_HW_Metro_10.jpg,,,
2025,HYX75,006,Kowloon'd Hypervan (2nd Color),HW Metro,1/5,Picture,2025_HW_Metro_11.jpg,,,
2025,HYW65,007,Small Bloc,HW Metro,2/5,Picture,2025_HW_Metro_12.jpg,,,
2025,HYY40,007,Small Bloc (2nd Color),Red EditionTarget Exclusive,3/12,Picture,2025_Red_EditionTarget_Exclusive_13.jpg,,,
2025,HYX56,007,Small Bloc (3rd Color),HW Metro,2/5,Picture,2025_HW_Metro_14.jpg,,,
2025,HYW66,008,Mazda Autozam,HW Dream Garage,1/5,Picture,2025_HW_Dream_Garage_15.jpg,,,
2025,HYY10,008,Mazda Autozam (2nd Color - Zamac),HW Dream GarageWalmart Exclusive,1/5,Picture,2025_HW_Dream_GarageWalmart_Exclusi_16.jpg,,,
2025,HYX45,008,Mazda Autozam (3rd Color),HW Dream Garage,1/5,Picture,2025_HW_Dream_Garage_17.jpg,,,
2025,HYW86,009,Tesla Model S Plaid,HW EV,1/10,Picture,2025_HW_EV_18.jpg,,,
2025,HYX58,009,Tesla Model S Plaid (2nd Color),HW EV,1/10,Picture,2025_HW_EV_19.jpg,,,
2025,HYW67,010,Deora III,HW EV,2/10,Picture,2025_HW_EV_20.jpg,,,
2025,HYX47,010,Deora III (2nd Color),HW EV,2/10,Picture,2025_HW_EV_21.jpg,,,
2025,HYW14,011,Kei Swap,HW Art CarsNew for 2025!,1/10,Picture,2025_HW_Art_CarsNew_for_2025!_22.jpg,,,
2025,HYX95,011,Kei Swap (2nd Color),HW Art CarsNew for 2025!,1/10,Picture,2025_HW_Art_CarsNew_for_2025!_23.jpg,,,
2025,HYW68,012,Custom '53 Chevy,HW Art Cars,2/10,Picture,2025_HW_Art_Cars_24.jpg,,,
2025,HYY11,012,Custom '53 Chevy (2nd Color - Zamac),HW Art CarsWalmart Exclusive,2/10,Picture,2025_HW_Art_CarsWalmart_Exclusive_25.jpg,,,
2025,HYW69,013,Nerve Hammer,X-Raycers,1/10,Picture,2025_X-Raycers_26.jpg,,,
2025,HYX66,013,Nerve Hammer (2nd Color),X-Raycers,1/10,Picture,2025_X-Raycers_27.jpg,,,
2025,HYW70,014,Draftnator,X-Raycers,2/10,Picture,2025_X-Raycers_28.jpg,,,
2025,HYY31,014,Draftnator (2nd Color),X-RaycersKroger Exclusive,2/10,Picture,2025_X-RaycersKroger_Exclusive_29.jpg,,,
2025,HYX67,014,Draftnator (3rd Color),X-Raycers,2/10,Picture,2025_X-Raycers_30.jpg,,,
2025,HYW13,015,Morgan Super 3,Factory FreshNew for 2025!,1/5,Picture,2025_Factory_FreshNew_for_2025!_31.jpg,,,
2025,HYY33,015,Morgan Super 3 (2nd Color),Factory FreshNew for 2025!Kroger Exclusive,1/5,Picture,2025_Factory_FreshNew_for_2025!Krog_32.jpg,,,
2025,HYX48,015,Morgan Super 3 (3rd Color),Factory FreshNew for 2025!,1/5,Picture,2025_Factory_FreshNew_for_2025!_33.jpg,,,
2025,HYW72,016,'87 Audi quattro,Factory Fresh,2/5,Picture,2025_Factory_Fresh_34.jpg,,,
2025,JBC35,016,'87 Audi quattro,Factory FreshSuper Treasure Hunt,2/5,Picture,2025_Factory_FreshSuper_Treasure_Hu_35.jpg,,,
2025,JBC20,017,Ford Performance Supervan 4,HW First ResponseTreasure Hunt,1/5,Picture,2025_HW_First_ResponseTreasure_Hunt_36.jpg,,,
2025,HYW71,018,Alpha Pursuit,HW First Response,2/5,Picture,2025_HW_First_Response_37.jpg,,,
2025,HYX49,018,Alpha Pursuit (2nd Color),HW First Response,2/5,Picture,2025_HW_First_Response_38.jpg,,,
2025,HYW12,019,Super Twin Mill,Hot Wheels Let's RaceNew for 2025!,1/5,Picture,2025_Hot_Wheels_Let's_RaceNew_for_2_39.jpg,,,
2025,HYW73,020,'21 Ford Bronco,HW Hot Trucks,1/10,Picture,2025_HW_Hot_Trucks_40.jpg,,,
2025,HYY32,020,'21 Ford Bronco (2nd Color),HW Hot TrucksKroger Exclusive,1/10,Picture,2025_HW_Hot_TrucksKroger_Exclusive_41.jpg,,,
2025,HYX50,020,'21 Ford Bronco (3rd Color),HW Hot Trucks,1/10,Picture,2025_HW_Hot_Trucks_42.jpg,,,
2025,HYW74,021,'67 Chevy C10,HW Hot Trucks,2/10,Picture,2025_HW_Hot_Trucks_43.jpg,,,
2025,HYX51,021,'67 Chevy C10 (2nd Color),HW Hot Trucks,2/10,Picture,2025_HW_Hot_Trucks_44.jpg,,,
2025,HYW75,022,Bogzilla,HW Ride-Ons,1/5,Picture,2025_HW_Ride-Ons_45.jpg,,,
2025,HYX52,022,Power Wheels Dune Racer,HW Ride-Ons,1/5,Picture,2025_HW_Ride-Ons_46.jpg,,,
2025,HYW76,023,Kick Kart,HW Ride-Ons,2/5,Picture,2025_HW_Ride-Ons_47.jpg,,,
2025,HYW77,024,Custom Cadillac Fleetwood,Rod Squad,1/10,Picture,2025_Rod_Squad_48.jpg,,,
2025,HYY39,024,Custom Cadillac Fleetwood (2nd Color),Red EditionTarget Exclusive,2/12,Picture,2025_Red_EditionTarget_Exclusive_49.jpg,,,
2025,,024,Custom Cadillac Fleetwood (3rd Color),Rod Squad,1/10,Picture,2025_Rod_Squad_50.jpg,,,
2025,HYW78,025,Max Steel,Rod Squad,2/10,Picture,2025_Rod_Squad_51.jpg,,,
2025,HYX53,025,Max Steel (2nd Color),Rod Squad,2/10,Picture,2025_Rod_Squad_52.jpg,,,
2025,HYW79,026,Nissan Skyline 2000GT-R LBWK,HW J-Imports,1/5,Picture,2025_HW_J-Imports_53.jpg,,,
2025,HYY30,026,Nissan Skyline 2000GT-R LBWK (2nd Color),HW J-ImportsKroger Exclusive,1/5,Picture,2025_HW_J-ImportsKroger_Exclusive_54.jpg,,,
2025,HYX54,026,Nissan Skyline 2000GT-R LBWK (3rd Color),HW J-Imports,1/5,Picture,2025_HW_J-Imports_55.jpg,,,
